Title,Year,Genre,Plot,Topic_Perc_Contrib,Dominant_Topic,lemmatized_Plot,Keywords
Darna at ang Babaing Tuod,1965,"Action, Adventure, Fantasy",THE FIRST DARNA EPIC IN FULL COLOR.,0.5393999814987183,6.0,"['first', 'darna', 'epic', 'full', 'color']","life, film, family, live, face, man, people, love, story, first"
Hubad sa ilalim ng buwan,1999,Drama,"A priest estranged from the holy vows, marries Clara and starts raising a family. After several incidents, he becomes wracked with melancholia and wanders aimlessly, unable to come to terms with his personal truths.",0.5200999975204468,14.0,"['priest', 'estrange', 'holy', 'vow', 'marry', 'clara', 'start', 'raise', 'family', 'several', 'incident', 'wrack', 'melancholia', 'wander', 'aimlessly', 'unable', 'come_term', 'personal', 'truth']","retake, brave, troop, japanese, ostracize, man, basic, guise, rd, united_state"
Maledicto,2019,Horror,"Xavier ""Xavi"" Lavezares was supposed to be a brilliant psychiatrist with a bright future ahead of him, until his sister Mara kills herself in front of him in the throes of a supposed demonic possession. Trying to find answers in a vocation he thought he'd never take up, Xavi becomes a man of the cloth who spends his spare time taking apart cases for exorcism. After the Vatican calls for an increase in the number of exorcists worldwide, Fr. Xavi is tapped to become to an exorcist. But when a botched exorcism ends in murder and leaves a supernatural echo from the trauma of his past, he enters a downward spiral as he is forced to confront the possibility of a reality far greater than his own. When idealistic young clairvoyant Sister Barbara ""Barbie"" Vergel de Dios finds one of her former students experiencing the symptoms of possession, she is convinced that it is real. But she has trouble finding an exorcist to believe her.When Fr. Xavi is put on the case as a last resort, she sees one ...",0.4158999919891357,8.0,"['lavezare', 'suppose', 'brilliant', 'psychiatrist', 'bright', 'future', 'ahead', 'sister', 'mara', 'kill', 'front', 'throe', 'suppose', 'demonic', 'possession', 'try', 'find', 'answer', 'vocation', 'think', 'never', 'take', 'become', 'man', 'cloth', 'spend', 'spare', 'time', 'take', 'case', 'exorcism', 'vatican', 'call', 'increase', 'number', 'exorcist', 'worldwide', 'tap', 'become', 'exorcist', 'botch', 'exorcism', 'end', 'murder', 'leave', 'supernatural', 'echo', 'trauma', 'enter', 'downward', 'spiral', 'possibility', 'reality', 'far', 'greater', 'idealistic', 'young', 'clairvoyant', 'sister', 'find', 'former', 'student', 'experience', 'symptom', 'possession', 'convince', 'real', 'trouble', 'find', 'exorcist', 'believe', 'herwhen', 'put', 'case', 'last', 'resort', 'see']","good, life, hunt, set, continue, take, community, story, struggle, violent"
Good Times Bad,2020,"Comedy, Drama","Jill Dela Rosa and Janus Paraiso are two complete strangers who, after the death of their parents due to a car accident, find it hard to go on living and moving forward. They both succumb into despair until one day Jill's father's toolbox and Janus' mother's suitcase are stolen by a thief named Spanky. During their quest to get their parents' possessions back, they too find that life is still around the corner after all.Written bySarrah Vilar",0.5198000073432922,6.0,"['jill', 'dela', 'janus', 'complete', 'stranger', 'death', 'parent', 'due', 'find', 'hard', 'go', 'live', 'move', 'forward', 'succumb', 'despair', 'day', 'jill', 'father', 'toolbox', 'janus', 'mother', 'suitcase', 'steal', 'thief', 'name', 'spanky', 'quest', 'get', 'parent', 'possession', 'back', 'find', 'life', 'still', 'corner']","life, film, family, live, face, man, people, love, story, first"
Pagdating ng panahon,2001,"Comedy, Drama, Romance","Lynette (Sharon Cuneta) is a conservative and religious lady who leads a boring life. So when she gets a marriage proposal from Manuel (Robin Padilla), whose family is known to be a brood of chauvinists, she was ecstatic.",0.6549999713897705,0.0,"['conservative', 'religious', 'lady', 'lead', 'boring', 'life', 'get', 'marriage', 'proposal', 'manuel', 'family', 'know', 'brood', 'chauvinist', 'ecstatic']","life, time, woman, story, sound, man, young, relationship, love, way"
The Diplomat Hotel,2013,"Drama, Horror, Mystery",A disgraced reporter seeks redemption by leading her documentary crew to spend one night and tell the story of what really happened at the haunted and infamous The Diplomat Hotel.,0.5630000233650208,0.0,"['disgrace', 'reporter', 'seek', 'redemption', 'lead', 'documentary', 'crew', 'spend', 'night', 'tell', 'story', 'really', 'happen', 'haunt', 'infamous', 'diplomat', 'hotel']","life, time, woman, story, sound, man, young, relationship, love, way"
Kasal?,1980,"Drama, Romance","Joel and Grace are about to get married. But they recall their past loves how they met and how their relationships ended. And just before their wedding, their former loves meet them.",0.5728999972343445,0.0,"['joel', 'grace', 'get', 'marry', 'recall', 'past', 'meet', 'relationship', 'end', 'wed', 'former', 'love', 'meet']","life, time, woman, story, sound, man, young, relationship, love, way"
My Kuya's Wedding,2007,"Comedy, Romance","A younger sister tries to ruin her brother's wedding for she knows that he will leave her alone after he marries his fiancee. She tries to concoct a scene by following her brother's pamamanhikan in the province, revealing further details about the woman's family.",0.3028999865055084,4.0,"['younger_sister', 'try', 'ruin', 'brother', 'wedding', 'know', 'leave', 'alone', 'marry', 'fiancee', 'try', 'concoct', 'scene', 'follow', 'brother', 'pamamanhikan', 'province', 'reveal', 'detail', 'womans', 'family']","fashion, father, life, live, follow, find, mar, biological, child, quiz"
Women of the Weeping River,2016,Drama,Two women in a remote Muslim community confront an escalating blood feud and reach deep into themselves in hopes to undo the feud stretching back generations.,0.5443000197410583,1.0,"['woman', 'remote', 'muslim', 'community', 'confront', 'escalate', 'blood', 'feud', 'reach', 'deep', 'hope', 'undo', 'feud', 'stretch', 'generation']","action, gut, pack, penetrate, insider, site, fight, screen, water, village"
Dabiana,1977,"Comedy, Drama",WEIGHTY BUT SHAPELY and DAINTY - CECLLE IÑIGO RHE HEAVYWEIGHT BEAUTY.,0.6886000037193298,4.0,"['weighty', 'shapely', 'dainty', 'ceclle', 'rhe', 'heavyweight', 'beauty']","fashion, father, life, live, follow, find, mar, biological, child, quiz"
Sibak,1994,"Crime, Drama","Three young and good-looking brothers live with and support their parents in Manila; they dance at the male Club Exotica and work as ""call boys."" Joel has a wife and child; he and Dennis are saving money to buy back lost family land. Sonny has dropped out of university and sees dancing as a way to make money for now. Joel has a regular boyfriend as well; Sonny spends time with Michelle, a transvestite; Dennis and his pals steal car radios. When their nanay takes in a homeless youth who is not what he appears to be, a chain of events is set in motion that brings tragedy. Is there any salvation in this late-night world of ""macho dancing"" and prostitution?Written by<jhailey@hotmail.com>",0.27140000462532043,3.0,"['young', 'goodlooking', 'brother', 'live', 'support', 'parent', 'dance', 'male', 'club', 'exotica', 'work', 'call', 'boy', 'wife', 'child', 'dennis', 'save', 'money', 'buy', 'back', 'lose', 'family', 'land', 'drop', 'university', 'see', 'dancing', 'way', 'make', 'money', 'joel', 'regular', 'boyfriend', 'spend', 'time', 'michelle', 'transvestite', 'pal', 'steal', 'car', 'radio', 'nanay', 'take', 'homeless', 'youth', 'appear', 'chain', 'event', 'set', 'motion', 'bring', 'tragedy', 'salvation', 'latenight', 'world', 'macho', 'dancing', 'prostitution']","love, story, life, household, comfort, friend, live, make, man, long"
Kasalanan ba?,1981,Drama,"IN THIS SEX-DRAMA FILM, AN ATTRACTIVE WOMAN WHO BROKE OFF WITH HER RICH FIANCE FALLS FALLS A PHOTOGRAPHER ON THE REBOUND.",0.9150999784469604,11.0,"['sexdrama', 'film', 'attractive', 'woman', 'break', 'rich', 'fiance', 'fall', 'fall', 'photographer', 'rebound']","sibling, story, girl, martinez, bet, lo, bj, lizard, monitor, geoff"
Return of the Kickfighter,1987,Action,"The plot concerns a unit of US marines operating in the Vietnam war during 1970, with the movie opening on a raid in a village. After massacring the villagers, the marines steal the villages gold, much to the objection of their Vietnamese translator and guide, (Bruce Le). Skip forward past the credits sequence; it's now 15 years later, and members of the unit are getting murdered one by one. This leads to the former head of the group, now a high ranking military officer, announcing that the only person who is up to the job of finding out the identity of the killer is an Aussie, Major Brad Cooper (Richard Norton).Written byIvanWong",0.25040000677108765,0.0,"['plot', 'concern', 'unit', 'marine', 'operate', 'movie', 'opening', 'raid', 'village', 'massacre', 'villager', 'marine', 'steal', 'village', 'gold', 'much', 'objection', 'vietnamese', 'translator', 'guide', 'bruce', 'skip', 'forward', 'past', 'credit', 'sequence', 'member', 'unit', 'murder', 'lead', 'former', 'head', 'group', 'high', 'rank', 'military', 'officer', 'announce', 'person', 'job', 'find', 'identity', 'killer', 'aussie', 'major', 'brad', 'cooper', 'richard']","life, time, woman, story, sound, man, young, relationship, love, way"
Send in the Clowns,1986,"Comedy, Drama, Musical","Tired of getting fired from different odd jobs, Roberto ""Robin"" (Tito Sotto), Ricardo ""Ricky"" (Vic Sotto) and Rodrigo ""Roy"" (Joey de Leon) decided to make use of their ability to make people laugh by working as clowns in a carnival.",0.4101999998092651,0.0,"['tired', 'fire', 'different', 'odd_jobs', 'robin', 'tito', 'sotto', 'ricardo', 'vic_sotto', 'decide', 'make', 'use', 'ability', 'make', 'people', 'laugh', 'work', 'clown', 'carnival']","life, time, woman, story, sound, man, young, relationship, love, way"
Menor de edad,1979,Comedy,"Ishmael Bernal's witty, sparking film portrays four college girls and their relationships: the first, Amy Austria, becomes mistress to an elderly man, Vic Silayan; the second, Chona Castillo, makes the mistake of getting into an early marriage to long-time fiancé Ronald Bergendahl: the third Sandy Andolong, pursues a shy boy of lower class, Marco Sison: and the fourth, Rio Locsin, is forever on sexual escapades.Written byBGP",0.4047000110149384,3.0,"['bernal', 'witty', 'spark', 'film', 'portray', 'college', 'girl', 'relationship', 'first', 'become', 'mistress', 'elderly', 'man', 'vic', 'silayan', 'second', 'castillo', 'make', 'mistake', 'get', 'early', 'marriage', 'longtime', 'fiancé', 'ronald', 'bergendahl', 'third', 'sandy', 'pursue', 'shy', 'boy', 'low', 'class', 'marco', 'sison', 'fourth', 'rio', 'locsin', 'forever', 'sexual', 'escapade']","love, story, life, household, comfort, friend, live, make, man, long"
Sa huling paghihintay,2001,Romance,its a nice movie ur the best rica,0.6269999742507935,9.0,"['nice', 'movie', 'good', 'rica']","amanda, idol, lani, judge, teenage, big, life, mother, rumor, story"
Magnifico,2003,Drama,"Even though he is not good in school and belongs to a poor and unfortunate family, Magnifico still have a big heart and a large amount of optimism that enabled him to help not only his family but also the community.",0.27390000224113464,12.0,"['even', 'good', 'school', 'belong', 'poor', 'unfortunate', 'family', 'magnifico', 'still', 'big', 'heart', 'large', 'amount', 'optimism', 'enable', 'help', 'family', 'also', 'community']","man, law, standing, eva, live, center, child, show, play, see"
Soltero,1984,Drama,Crispin is a 29-year old bachelor who lives alone in his apartment and works in a bank. His life is filled with pain and suffering as he wants to find a woman to love due to his age nearing to his 30s.,0.7437999844551086,6.0,"['bachelor', 'life', 'alone', 'apartment', 'work', 'bank', 'life', 'fill', 'pain', 'suffering', 'find', 'woman', 'love', 'due', 'age', 'near']","life, film, family, live, face, man, people, love, story, first"
Sambahin ang ngalan mo,1981,"Action, Drama","IN HIS FATHER'S NAME, HONOR, AND MEMORY, HE RELENTLESSLY PURSUES JUSTICE.",0.7299000024795532,4.0,"['father', 'name', 'honor', 'memory', 'relentlessly', 'pursue', 'justice']","fashion, father, life, live, follow, find, mar, biological, child, quiz"
Sila-sila,2019,Drama,"Sila-Sila is said to be a ghosting story about a man whose breakups tend to be messy and traumatic not only for him but also for the receiving end. When he encounters his ex-boyfriend again, he finds himself rekindling the feelings he thought were long gone already.",0.5336999893188477,10.0,"['say', 'ghost', 'story', 'man', 'breakup', 'tend', 'messy', 'traumatic', 'also', 'receive', 'end', 'encounter', 'exboyfriend', 'find', 'rekindle', 'feeling', 'think', 'long', 'go', 'already']","training, actress, military, award, phenomenon, story, terrorist, fight, young, perspective"
Leon at Tigre,1991,Comedy,Good friends (Maricel Soriano & Rene Requiestas) bent on becoming cops always end up getting on each others nerves. One ends up as a Jeepney Driver and the other as a Traffic Enforcer. This inevitably reunites them in all sorts of crazy situations.Written byledster,0.4867999851703644,8.0,"['good', 'friend', 'rene_requiesta', 'bend', 'become', 'cop', 'always', 'end', 'get', 'other', 'nerve', 'end', 'traffic', 'enforcer', 'inevitably', 'reunite', 'sort', 'crazy', 'situation']","good, life, hunt, set, continue, take, community, story, struggle, violent"
The Muses,2013,Comedy,"The Muses' vocalist, Marthe, and her guitarist younger sister, Marie, discover hidden truths about fame, music, family and their own selves on the night of an all-important music competition.",0.5601000189781189,0.0,"['muse', 'vocalist', 'marthe', 'guitarist', 'younger_sister', 'marie', 'discover', 'hide', 'truth', 'fame', 'music', 'family', 'self', 'night', 'allimportant', 'music', 'competition']","life, time, woman, story, sound, man, young, relationship, love, way"
EJK (Extra Judicial Killing),2016,Drama,ejk is about the extra judicial killing that is happening in the Philippines. It is a film that shows the disturbing details about drug abuse and drug trafficking that contribute mainly to many unexplained and unabated killings in the Philippines,0.2736999988555908,13.0,"['ejk', 'extra', 'judicial', 'killing', 'happen', 'philippine', 'film', 'show', 'disturb', 'detail', 'drug', 'abuse', 'drug', 'trafficking', 'contribute', 'mainly', 'many', 'unexplained', 'unabated', 'killing', 'philippine']","hit, screen, drama, strange, sow, ever, unfulfilled, energy, coco, fernando_poe_jr"
Siquijor: Mystic Island,2007,"Drama, Horror","""HILAKBOT,"" Xavier Adriano's brainchild-horror show is doing well in its afternoon slot. The show tackles tongue-in-cheek re-enactments of horror stories interspersed with interviews with the people who have knowledge or have had experienced the hauntings. Now, GBS Network wants to bring it to primetime- provided that they present an entirely new concept. Carlo takes the challenge and decides to shoot in Siquijor- an Island in the south well-known of its mysticism. But that's just the beginning of things to come. The network assigns Doreen Jimenez as the executive producer of the new show. She has reputation of developing great shows for the network. But Doreen is Carlo's former flame. They still have unresolved issues to deal with. And now, she's breathing behind her neck and has a hand in the creative decisions. She even replaced Carlo's resident cameraman and writer much to Carlo's disgust. Alex Alonzo, Carlo's current girlfriend and the show's host tries to calm him down and ...Written byviva",0.4151000082492829,0.0,"['hilakbot', 'xavier', 'adrianos', 'brainchildhorror', 'show', 'well', 'afternoon', 'slot', 'show', 'tackle', 'tongueincheek', 'reenactment', 'horror', 'story', 'intersperse', 'interview', 'people', 'knowledge', 'experience', 'haunting', 'gbs', 'network', 'want', 'bring', 'primetime', 'provide', 'present', 'entirely', 'new', 'concept', 'carlo', 'take', 'challenge', 'decide', 'shoot', 'siquijor', 'island', 'south', 'wellknown', 'mysticism', 'that_s', 'begin', 'thing', 'come', 'network', 'assign', 'executive', 'producer', 'new', 'show', 'reputation', 'develop', 'great', 'show', 'network', 'former', 'flame', 'still', 'unresolved', 'issue', 'deal', 'she_s', 'breathe', 'neck', 'hand', 'creative', 'decision', 'even', 'replace', 'resident', 'cameraman', 'writer', 'much', 'disgust', 'current', 'girlfriend', 'show', 'host', 'try', 'calm']","life, time, woman, story, sound, man, young, relationship, love, way"
Batang-X,1995,"Action, Fantasy, Sci-Fi","Batang X is a group of five children with super human potential kidnapped by Dr. Axis, an alien stranded on earth with her spaceship. She needs their power in order to steal a material as a source of energy for spaceship to leave the planet. A-Gel or Anghel Arsenal,l who walks with crutches, gains ability to fly, while his blind brother Kiko or KidLat gains vision power, including eye blast.3-Na/Trina Dela Paz turns invisible and G:Boy/Bugoy has superhuman strength. Last member is Control who's real name is unknown and who's very intelligent.Written byAnonymous",0.2099000066518784,4.0,"['group', 'child', 'super', 'human', 'potential', 'kidnap', 'dr', 'axis', 'alien', 'strand', 'earth', 'spaceship', 'need', 'power', 'order', 'steal', 'material', 'source', 'energy', 'spaceship', 'leave', 'planet', 'agel', 'arsenall', 'walk', 'crutch', 'gain', 'ability', 'fly', 'blind', 'brother', 'kidlat', 'gain', 'vision', 'power', 'include', 'eye', 'blastnatrina', 'turn', 'invisible', 'gboybugoy', 'superhuman', 'strength', 'last', 'member', 'control', 'real', 'name', 'unknown', 'intelligent']","fashion, father, life, live, follow, find, mar, biological, child, quiz"
Asian Treasures,2007,"Action, Adventure, History","Asian Treasures is an engaging story involving the quest for hidden treasures that date back from the start of Philippine civilization. It is said that these treasures were gathered from different parts of Asia by 10 Bornean Datus who formed a city in a place known as Itim na Ginto (Black Gold). This secret has been passed on among the descendants of two groups of Filipinos - the KKK (Kapatirang Kumakalinga ng Kayamanan), who wants to protect the treasures, and the Sudama, the group who has selfish intentions in finding the treasures. Coming from the lineage of the KKK, Gabriela (Angel Locsin) is an iron-willed young lass who was well-trained in the field of combat for an all-important task of carrying on the mission of her ancestors. Since the Sudama have begun an aggressive pursuit of the hidden treasures, even obliterating KKK members who got in the way of their quest, the KKK needs to get ahead to be able to protect the treasures. In an unlikely turn of events, Gabriela's path ...Written byigma.tv",0.4954000115394592,0.0,"['asian', 'treasure', 'engage', 'story', 'involve', 'quest', 'hide', 'treasure', 'date', 'back', 'start', 'philippine', 'civilization', 'say', 'treasure', 'gather', 'different', 'part', 'asia', 'bornean', 'datus', 'form', 'city', 'place', 'know', 'itim', 'ginto', 'black', 'gold', 'secret', 'pass', 'descendant', 'group', 'filipino', 'kumakalinga', 'ng', 'kayamanan', 'protect', 'treasure', 'sudama', 'group', 'selfish', 'intention', 'find', 'treasure', 'come', 'lineage', 'kkk', 'gabriela', 'ironwille', 'young', 'lass', 'welltraine', 'field', 'combat', 'allimportant', 'task', 'carry', 'mission', 'ancestor', 'sudama', 'begin', 'aggressive', 'pursuit', 'hide', 'treasure', 'even', 'obliterate', 'kkk', 'member', 'get', 'way', 'quest', 'need', 'get', 'ahead', 'protect', 'treasure', 'unlikely', 'turn', 'event', 'gabriela', 'path']","life, time, woman, story, sound, man, young, relationship, love, way"
Krusada,2010,Documentary,"Krusada will embrace advocacy journalism. As advocates, ABS-CBN anchors will speak on behalf of an issue or on behalf of another, giving a face and a voice to those who need to be heard. It is a documentary program that advocates concrete action on current issues. It allows the anchors to take a stand on issues that will promote positive social change. It is not just a program; it is a multi-media movement with follow-through. Krusada is the only program which is also a movement that actively champions social change by allowing its anchors to take an editorial stand on current issues.Written byKrusada, ABS-CBN",0.3535999953746796,5.0,"['krusada', 'embrace', 'advocacy', 'journalism', 'advocate', 'abscbn', 'anchor', 'speak', 'behalf', 'issue', 'behalf', 'give', 'face', 'voice', 'hear', 'documentary', 'program', 'advocate', 'concrete', 'action', 'current', 'issue', 'allow', 'anchor', 'take', 'stand', 'issue', 'promote', 'positive', 'social', 'change', 'program', 'multimedia', 'movement', 'followthrough', 'krusada', 'program', 'also', 'movement', 'actively', 'champion', 'social', 'change', 'allow', 'anchor', 'take', 'editorial', 'stand', 'current', 'issue']","film, corregidor, terror, aswang, documentary, drug, influence, shock, war, story"
Babae sa bubungang lata,1998,Drama,A newly-wed movie stuntman and his wife resides in a cemetery where they become aquainted with an assortment of characters.,0.373199999332428,9.0,"['newlywed', 'movie', 'stuntman', 'wife', 'reside', 'cemetery', 'become', 'aquainted', 'assortment', 'character']","amanda, idol, lani, judge, teenage, big, life, mother, rumor, story"
Bingoleras,2013,Comedy,"Six single women and a priest's lives intersect when a bingo marathon is launched in their church for the barangay fiesta, turning expectations and relationships upside down and inside out.",0.3903000056743622,6.0,"['single', 'woman', 'priest', 'live', 'intersect', 'bingo', 'marathon', 'launch', 'church', 'barangay', 'fiesta', 'turn', 'expectation', 'relationship', 'upside', 'inside']","life, film, family, live, face, man, people, love, story, first"
You Have Arrived,2019,Thriller,"When they were young Arianne, Dani, and Flo were victims of bullying, but the common struggle brought them together which eventually bloomed into a beautiful friendship. At present, the three girls are now social media influencers in their own right. Until a bar incident caused Arianne to lose her social media followers and a rift with her longtime friends. To get her followers back, Arianne becomes more active in social media and uses popular hashtags in her posts. This is where she crosses paths with Chloe, a talent coordinator who invites her to an exclusive party for models and influencers. To patch things up with Dani and Flo, Arianne invites them to the party. The former agreed and they go to the party altogether. Things go south when thee three discover that the fun occasion unknowingly becomes the worst night of their lives. Will Arianne, Dani, and Flo be able to escape the party and make it out alive?Written byiWant",0.4562000036239624,10.0,"['young', 'dani', 'flo', 'victim', 'bully', 'common', 'struggle', 'bring', 'together', 'eventually', 'bloom', 'beautiful', 'friendship', 'present', 'girl', 'influencer', 'right', 'bar', 'incident', 'cause', 'lose', 'follower', 'rift', 'longtime', 'friend', 'get', 'follower', 'back', 'become', 'active', 'use', 'popular', 'hashtag', 'post', 'crosses_path', 'chloe', 'talent', 'coordinator', 'invite', 'exclusive', 'party', 'model', 'influencer', 'patch', 'thing', 'invite', 'party', 'former', 'agree', 'go', 'party', 'altogether', 'thing', 'go', 'south', 'discover', 'fun', 'occasion', 'unknowingly', 'become', 'bad', 'night', 'live', 'flo', 'escape', 'party', 'make', 'alive']","training, actress, military, award, phenomenon, story, terrorist, fight, young, perspective"
Inday-Inday sa balitaw,1986,"Action, Comedy, Family","Abandoned by her mother, Inday suffers many hardships during her childhood. She tries to despise her mother, Monina, who seems to not care that she left her child years earlier. But due to her longing for motherly love, Inday cannot help but feel drawn to Monina. Their new found relationship however is short lived due to other circumstances.Written byledster",0.4699999988079071,9.0,"['abandon', 'mother', 'inday', 'suffer', 'many', 'hardship', 'childhood', 'despise', 'mother', 'seem', 'care', 'leave', 'child', 'year', 'early', 'due', 'long', 'motherly', 'love', 'inday', 'can_not', 'help', 'feel', 'draw', 'monina', 'new', 'find', 'relationship', 'however', 'short', 'live', 'due', 'circumstance']","amanda, idol, lani, judge, teenage, big, life, mother, rumor, story"
Balandra Crossing,1987,"Action, Comedy",Kiko (Chiquito) and Tisoy (Redford White) are top notch government agents. An important break comes along when gang members paid Aling Kuala with fake money.,0.8274999856948853,12.0,"['tisoy', 'redford', 'white', 'top', 'notch', 'government', 'agent', 'important', 'break', 'come', 'gang', 'member', 'pay', 'ale', 'kuala', 'fake', 'money']","man, law, standing, eva, live, center, child, show, play, see"
